Date,^DJI,^GSPC,^IXIC
2019-12-01,28538.439453125,3230.780029296875,8972.599609375
2020-01-01,28256.029296875,3225.52001953125,9150.9404296875
2020-02-01,25409.359375,2954.219970703125,8567.3701171875
2020-03-01,21917.16015625,2584.590087890625,7700.10009765625
2020-04-01,24345.720703125,2912.429931640625,8889.5498046875
2020-05-01,25383.109375,3044.31005859375,9489.8701171875
2020-06-01,25812.880859375,3100.2900390625,10058.76953125
2020-07-01,26428.3203125,3271.1201171875,10745.26953125
2020-08-01,28430.05078125,3500.31005859375,11775.4599609375
2020-09-01,27781.69921875,3363.0,11167.509765625
2020-10-01,26501.599609375,3269.9599609375,10911.58984375
2020-11-01,29910.369140625,3638.35009765625,12205.849609375
2020-11-27,29910.369140625,3638.35009765625,12205.8466796875
