Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2010-11-29,9.683157920837402,42.50692367553711,37.3322639465332,51.01111602783203,62.09839630126953,35.95249938964844,14.65574836730957,55.237403869628906,31.722900390625,,137.11651611328125,24.343862533569336,38.240901947021484,101.33079528808594,15.74844741821289,46.16505813598633,28.70492935180664,22.43033218383789,58.36260223388672,64.2945785522461,24.692718505859375,20.123220443725586,16.285863876342773,45.61635971069336,42.389801025390625,31.216981887817383,17.226051330566406,20.18284797668457,27.067819595336914,41.975433349609375
2010-11-30,9.508360862731934,42.004676818847656,37.237491607666016,50.54348373413086,62.788612365722656,34.80500030517578,14.444660186767578,54.75055694580078,31.801286697387695,,134.70948791503906,24.148818969726562,38.07240295410156,100.31673431396484,15.622930526733398,45.89662170410156,28.318763732910156,22.352493286132812,58.39241409301758,64.11137390136719,24.53611946105957,20.083459854125977,16.471363067626953,44.83810043334961,42.24114227294922,31.157270431518555,17.14710807800293,20.25244903564453,27.106708526611328,42.16252136230469
2010-12-01,9.668792724609375,42.666358947753906,38.16798400878906,52.08903503417969,64.90383911132812,36.0099983215332,14.565285682678223,55.92033767700195,32.33262252807617,,136.702392578125,25.267932891845703,38.96848678588867,102.40873718261719,15.859189987182617,46.54535675048828,28.886646270751953,22.893875122070312,59.13069534301758,65.69160461425781,24.95608901977539,20.70362091064453,16.760135650634766,45.631038665771484,42.945289611816406,32.138389587402344,17.465198516845703,20.467557907104492,27.7445068359375,42.638004302978516
2010-12-02,9.722270011901855,42.92147445678711,38.75386047363281,52.77857971191406,65.7721939086914,35.755001068115234,14.48989200592041,57.13746643066406,32.52425003051758,,140.196533203125,26.666820526123047,39.20591735839844,102.95476531982422,16.021621704101562,46.67958450317383,29.764982223510742,22.96464729309082,59.19782257080078,66.04280090332031,25.069978713989258,21.379426956176758,17.03752899169922,45.78521728515625,43.1174201965332,32.462608337402344,17.878507614135742,20.714313507080078,28.086750030517578,42.67697525024414
2010-12-03,9.700572967529297,42.833770751953125,38.66770553588867,52.738948822021484,66.33626556396484,35.70249938964844,14.376809120178223,57.401187896728516,32.742008209228516,,140.03262329101562,26.762741088867188,39.405052185058594,103.09661865234375,16.01423454284668,46.649757385253906,29.99215316772461,22.823108673095703,59.481204986572266,66.37109375,25.126922607421875,21.4827880859375,16.979333877563477,45.7631950378418,42.92181396484375,32.372718811035156,17.959768295288086,20.815547943115234,28.67011070251465,42.57564926147461
2010-12-06,9.7833890914917,42.57069778442383,38.77110290527344,52.77857971191406,66.2026596069336,36.307498931884766,14.648213386535645,57.441749572753906,32.71588134765625,,140.32595825195312,26.650829315185547,39.19059371948242,102.82001495361328,16.021621704101562,46.38132095336914,30.21172523498535,22.64264678955078,59.34696578979492,66.32527160644531,25.09132957458496,21.33966827392578,17.018129348754883,45.56496047973633,43.0469970703125,31.919052124023438,18.182662963867188,20.809215545654297,28.273420333862305,42.47430419921875
2010-12-07,9.724104881286621,42.35544967651367,38.5815544128418,52.49325180053711,67.05619049072266,36.310001373291016,14.618059158325195,58.354591369628906,32.51553726196289,,139.4114227294922,26.81869888305664,39.38972473144531,102.13214111328125,15.933023452758789,46.463340759277344,29.71954917907715,22.695724487304688,59.913734436035156,64.27169036865234,25.17674446105957,21.363521575927734,16.91337776184082,45.631038665771484,42.90615463256836,31.47395133972168,17.85064125061035,20.84717559814453,28.172313690185547,42.9420051574707
2010-12-08,9.809667587280273,42.475032806396484,39.31389617919922,51.66102981567383,66.51438903808594,37.64500045776367,14.587902069091797,58.246402740478516,32.20197296142578,,143.3369903564453,27.202388763427734,39.34378433227539,102.81292724609375,16.110225677490234,46.567726135253906,30.48431968688965,22.784181594848633,58.72055435180664,64.645751953125,25.198110580444336,21.649747848510742,16.9385929107666,45.983463287353516,43.36296463012695,31.53388214111328,18.096757888793945,20.86615753173828,28.366756439208984,42.70922088623047
2010-12-09,9.77147102355957,42.57069778442383,39.468997955322266,51.209266662597656,66.55148315429688,37.122501373291016,14.851766586303711,58.59125900268555,32.35165786743164,,143.6044158935547,27.434215545654297,39.32080841064453,102.3307113647461,16.102842330932617,46.27692413330078,30.900772094726562,22.93987274169922,57.87782669067383,64.2105941772461,25.390291213989258,21.530488967895508,16.967693328857422,46.15966796875,43.0243034362793,31.37123680114746,18.370737075805664,21.233121871948242,28.288972854614258,42.59164810180664
2010-12-10,9.795918464660645,42.961334228515625,39.8567008972168,50.85261154174805,66.75187683105469,37.15250015258789,14.851766586303711,58.848201751708984,32.28121566772461,,145.34718322753906,27.498159408569336,39.810970306396484,102.69947814941406,16.176671981811523,46.16505813598633,31.370220184326172,22.876184463500977,57.84056091308594,64.37093353271484,25.618078231811523,21.737205505371094,17.031707763671875,46.40196228027344,43.14244079589844,31.38835334777832,18.621511459350586,21.53681755065918,28.33565330505371,42.54462432861328
2010-12-13,9.82983684539795,43.13671112060547,39.95146179199219,50.55934143066406,68.00616455078125,35.970001220703125,14.761296272277832,59.754310607910156,32.6950798034668,,146.21853637695312,27.626049041748047,39.8262825012207,102.3165054321289,15.873956680297852,46.127784729003906,31.43079376220703,22.946949005126953,57.50494384765625,65.11907196044922,25.97057342529297,21.6656494140625,17.309110641479492,46.39462661743164,43.544090270996094,31.585222244262695,18.781713485717773,21.581098556518555,28.343416213989258,42.489749908447266
