Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-01-02,73.84004211425781,233.64202880859375,124.07127380371094,331.34857177734375,146.12794494628906,166.99000549316406,47.1553955078125,114.91845703125,148.1999969482422,50.524139404296875,230.05638122558594,215.7671356201172,176.66873168945312,128.6719512939453,59.3639030456543,142.10670471191406,136.14588928222656,53.58737564086914,197.0667724609375,173.53823852539062,89.91203308105469,158.936279296875,101.43891143798828,120.43546295166016,134.68551635742188,288.7994689941406,189.95077514648438,58.49168014526367,56.58098602294922,117.41471862792969
2020-01-03,73.12215423583984,232.05584716796875,122.83893585205078,330.7919006347656,144.09909057617188,166.1699981689453,46.38602828979492,114.52098846435547,146.5,49.27396011352539,227.36624145507812,215.050048828125,174.78274536132812,127.64575958251953,58.64185333251953,140.46142578125,134.3492431640625,53.29502487182617,196.3699493408203,172.04388427734375,89.14029693603516,156.95726013183594,101.16100311279297,119.6254653930664,134.20558166503906,285.876953125,188.44007873535156,57.86892318725586,56.58098602294922,116.37818908691406
2020-01-06,73.70481872558594,233.8366241455078,122.30656433105469,331.7660827636719,144.00198364257812,173.4499969482422,46.55158615112305,114.13297271728516,145.64999389648438,49.07656478881836,229.693115234375,216.0618133544922,173.46351623535156,127.41773986816406,58.475975036621094,140.2862091064453,134.242431640625,53.275535583496094,198.57821655273438,172.20779418945312,89.52127838134766,157.3629608154297,101.0716781616211,119.79136657714844,134.3524932861328,287.8614807128906,188.0325927734375,57.7443733215332,57.06941223144531,116.1412582397461
2020-01-07,73.35818481445312,231.63739013671875,121.66575622558594,335.28515625,142.0993194580078,176.0,46.24968338012695,112.67555236816406,145.6999969482422,49.05776596069336,231.20510864257812,214.6473388671875,173.5612335205078,127.50324249267578,57.500240325927734,141.1428985595703,131.96022033691406,52.866249084472656,198.87266540527344,171.5136260986328,87.13768768310547,155.9281768798828,101.02204132080078,119.04967498779297,132.38380432128906,286.123779296875,187.53565979003906,57.10244369506836,56.7821044921875,115.06524658203125
2020-01-08,74.53823852539062,231.8125762939453,123.7656478881836,329.41009521484375,143.36129760742188,177.3300018310547,46.27890396118164,111.38848876953125,145.39999389648438,49.56535720825195,233.43377685546875,217.859375,173.7078094482422,128.5674285888672,57.53927230834961,141.12344360351562,132.98963928222656,52.96369552612305,202.0918426513672,174.14564514160156,86.55155944824219,158.41183471679688,100.79375457763672,119.55714416503906,133.8040008544922,292.1564636230469,190.74588012695312,57.20783615112305,53.46846008300781,114.67037200927734
2020-01-09,76.12149810791016,232.5034637451172,126.0035629272461,334.3507080078125,143.0021209716797,179.60000610351562,46.08412551879883,111.20867919921875,144.8300018310547,49.05776596069336,238.18572998046875,221.19911193847656,174.9879608154297,129.92617797851562,57.861263275146484,141.54205322265625,133.4752197265625,53.928443908691406,204.48658752441406,174.69517517089844,87.31352996826172,160.390869140625,100.72428131103516,120.86485290527344,134.7932586669922,290.4977111816406,192.0677490234375,56.97066116333008,52.367095947265625,115.85498046875
2020-01-10,76.2935791015625,231.85150146484375,125.4810562133789,327.96868896484375,141.85662841796875,180.1999969482422,45.89908981323242,110.19605255126953,144.6199951171875,48.4091796875,237.7046356201172,220.24632263183594,174.60682678222656,129.878662109375,57.5099983215332,141.2207794189453,132.14474487304688,54.11359786987305,203.42662048339844,173.9913787841797,87.4600601196289,159.6487274169922,100.14860534667969,120.98194885253906,132.72657775878906,291.39617919921875,192.58457946777344,57.10619354248047,51.92656326293945,114.88754272460938
2020-01-13,77.92353820800781,230.5475311279297,126.7232437133789,328.26690673828125,142.5264434814453,183.85000610351562,46.71714782714844,110.40426635742188,143.8800048828125,49.20816421508789,240.7482147216797,219.38189697265625,177.13778686523438,129.7931671142578,58.144229888916016,141.84384155273438,133.24212646484375,54.698299407958984,202.68069458007812,174.4252166748047,87.4405288696289,161.5684051513672,101.39922332763672,121.8700180053711,133.46119689941406,282.23358154296875,194.13504028320312,57.26108169555664,51.7733268737793,114.39395904541016
2020-01-14,76.87132263183594,233.54469299316406,126.97958374023438,330.3843078613281,142.39053344726562,182.1199951171875,46.54185104370117,110.06356048583984,145.1999969482422,49.10476303100586,241.19003295898438,218.86129760742188,176.33648681640625,129.05201721191406,57.98811340332031,142.64215087890625,134.79598999023438,54.57160949707031,203.4757080078125,174.8590545654297,87.85081481933594,160.43045043945312,102.15355682373047,121.68460845947266,133.84317016601562,284.5933837890625,194.8506317138672,57.15459060668945,52.309635162353516,114.69011688232422
2020-01-15,76.54188537597656,235.19895935058594,127.98516845703125,327.8493957519531,141.31301879882812,181.05999755859375,46.756103515625,109.90267181396484,144.32000732421875,49.13296890258789,240.7482147216797,220.60975646972656,176.61009216308594,129.81214904785156,57.5099983215332,143.11917114257812,132.77598571777344,55.25375747680664,205.88027954101562,173.32614135742188,89.42359161376953,161.46945190429688,102.02452087402344,122.92398834228516,134.74427795410156,292.6600036621094,198.5776824951172,57.212677001953125,52.1276741027832,113.8016586303711
